#! FIELDS cv1 file.free der_cv1
#! SET min_cv1 0
#! SET max_cv1 3.0
#! SET nbins_cv1  301
#! SET periodic_cv1 false
    0.000000000  -52.073369935 -863.668556911
    0.010000000  -60.641037223 -842.153426001
    0.020000000  -68.803799644 -783.407649451
    0.030000000  -76.220181966 -694.305151524
    0.040000000  -82.637965224 -585.432573005
    0.050000000  -87.918837911 -468.939870942
    0.060000000  -92.043174216 -356.295957830
    0.070000000  -95.100658117 -256.864814743
    0.080000000  -97.255609333 -176.438896476
    0.090000000  -98.712103288 -117.140167817
    0.100000000  -99.680533477  -78.077174546
    0.110000000 -100.344261294  -55.854541783
    0.120000000 -100.853815573  -46.454081680
    0.130000000 -101.314403655  -45.584207696
    0.140000000 -101.794864360  -49.745348894
    0.150000000 -102.329414521  -56.057031298
    0.160000000 -102.929574061  -62.536960639
    0.170000000 -103.586948345  -67.634103345
    0.180000000 -104.288124200  -70.780923909
    0.190000000 -105.005800204  -71.822133362
    0.200000000 -105.712908103  -70.631340293
    0.210000000 -106.392743264  -67.437425806
    0.220000000 -107.033170359  -62.370964886
    0.230000000 -107.620740677  -56.604221415
    0.240000000 -108.153129263  -50.690491265
    0.250000000 -108.627341510  -45.764493074
    0.260000000 -109.057472571  -41.190547666
    0.270000000 -109.443862279  -37.247822012
    0.280000000 -109.796690353  -34.018843936
    0.290000000 -110.116541293  -31.142320130
    0.300000000 -110.407188937  -28.664864073
    0.310000000 -110.680331036  -26.846315650
    0.320000000 -110.937483061  -25.779341167
    0.330000000 -111.187293142  -25.884794919
    0.340000000 -111.445116372  -26.675652812
    0.350000000 -111.716298503  -28.586624999
    0.360000000 -112.006565287  -30.857549656
    0.370000000 -112.319621835  -32.943167683
    0.380000000 -112.650641505  -34.319977830
    0.390000000 -112.991857880  -34.741178392
    0.400000000 -113.332735832  -34.218005889
    0.410000000 -113.660412451  -32.967682883
    0.420000000 -113.973782747  -31.430892015
    0.430000000 -114.273755444  -29.739819163
    0.440000000 -114.561391420  -28.535070042
    0.450000000 -114.836751730  -27.745605892
    0.460000000 -115.105544022  -27.144684624
    0.470000000 -115.363818838  -26.357852277
    0.480000000 -115.614028328  -24.572229730
    0.490000000 -115.837511477  -21.882271379
    0.500000000 -116.033673168  -18.296216890
    0.510000000 -116.192311636  -14.523905198
    0.520000000 -116.311216459  -10.782223570
    0.530000000 -116.394664799   -7.624980951
    0.540000000 -116.452138654   -5.046494290
    0.550000000 -116.489937387   -3.773589878
    0.560000000 -116.515990828   -3.301926130
    0.570000000 -116.540700553   -2.998548538
    0.580000000 -116.562790558   -3.062265969
    0.590000000 -116.585901514   -2.928597612
    0.600000000 -116.605364702   -2.761994483
    0.610000000 -116.624367607   -2.646816568
    0.620000000 -116.644270416   -2.677507830
    0.630000000 -116.662700962   -2.349934686
    0.640000000 -116.677965536   -1.241286678
    0.650000000 -116.675299357    0.274601283
    0.660000000 -116.652004452    3.160644695
    0.670000000 -116.596233101    7.019869278
    0.680000000 -116.495329122   11.144229394
    0.690000000 -116.352592643   15.672824303
    0.700000000 -116.167150750   19.288771890
    0.710000000 -115.957374117   21.186627158
    0.720000000 -115.737236577   20.570961252
    0.730000000 -115.538640809   17.505606940
    0.740000000 -115.381154245   12.297128058
    0.750000000 -115.282841004    5.538722471
    0.760000000 -115.254605270   -1.534605743
    0.770000000 -115.291787681   -7.635580407
    0.780000000 -115.382472380  -11.488472149
    0.790000000 -115.498203598  -12.737423628
    0.800000000 -115.613686938  -11.272651730
    0.810000000 -115.700111983   -7.407992114
    0.820000000 -115.739355732   -1.628294468
    0.830000000 -115.718520212    4.762222268
    0.840000000 -115.631020236   11.259751135
    0.850000000 -115.480456938   16.808434363
    0.860000000 -115.279801738   21.591139790
    0.870000000 -115.037996269   24.915996065
    0.880000000 -114.767128446   26.860448699
    0.890000000 -114.487136582   27.498827926
    0.900000000 -114.208316465   26.499096311
    0.910000000 -113.950064826   23.665457529
    0.920000000 -113.730451219   18.571822662
    0.930000000 -113.568070120   11.836474258
    0.940000000 -113.480672339    4.320108472
    0.950000000 -113.464651298   -2.799829730
    0.960000000 -113.513629118   -7.989270287
    0.970000000 -113.601169795   -9.870454391
    0.980000000 -113.686394648   -8.106198699
    0.990000000 -113.729753900   -2.377980871
    1.000000000 -113.701106954    6.658955610
    1.010000000 -113.575426424   17.154213789
    1.020000000 -113.348124201   26.802839184
    1.030000000 -113.035315834   33.981058615
    1.040000000 -112.668626891   36.956608842
    1.050000000 -112.293408645   35.644410606
    1.060000000 -111.952631032   30.884136870
    1.070000000 -111.668725179   24.048307931
    1.080000000 -111.456471430   16.481433111
    1.090000000 -111.318718850   10.049390950
    1.100000000 -111.233796893    5.461488145
    1.110000000 -111.186831562    3.077391420
    1.120000000 -111.155889123    2.128063294
    1.130000000 -111.127955160    2.028650347
    1.140000000 -111.100743642    1.849166894
    1.150000000 -111.076659675    1.328625747
    1.160000000 -111.061572910    0.485005479
    1.170000000 -111.055088494   -0.672076125
    1.180000000 -111.056865631   -1.240565285
    1.190000000 -111.060198710   -0.720703155
    1.200000000 -111.047233301    0.810155313
    1.210000000 -111.020302950    3.625410792
    1.220000000 -110.957967313    6.938429571
    1.230000000 -110.866072156   10.384175729
    1.240000000 -110.743359403   12.905524211
    1.250000000 -110.603170123   14.087995334
    1.260000000 -110.456524495   13.221241926
    1.270000000 -110.329362211   10.648541258
    1.280000000 -110.235947043    6.371088052
    1.290000000 -110.193694141    0.445912969
    1.300000000 -110.212907059   -6.190888998
    1.310000000 -110.298325632  -12.874391833
    1.320000000 -110.448968956  -18.333250288
    1.330000000 -110.650017937  -22.554932354
    1.340000000 -110.882714294  -24.748062851
    1.350000000 -111.126237679  -24.984950851
    1.360000000 -111.362742865  -23.514479421
    1.370000000 -111.578335552  -20.843202157
    1.380000000 -111.761852679  -17.348555846
    1.390000000 -111.909885803  -13.775665287
    1.400000000 -112.024734517  -10.289777499
    1.410000000 -112.104523797   -7.546972007
    1.420000000 -112.162324358   -5.816091681
    1.430000000 -112.208345031   -5.304332204
    1.440000000 -112.259465070   -5.934432980
    1.450000000 -112.324280462   -8.344509903
    1.460000000 -112.414877721  -11.575581082
    1.470000000 -112.540459190  -14.956458532
    1.480000000 -112.699975689  -17.968881736
    1.490000000 -112.883241016  -19.699540889
    1.500000000 -113.074484079  -19.371186889
